#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-25T16:21:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5baa5fdab92b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=39	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-nav=cat:I/324&cat:I/337&cat:I/345&tab:{I/345/gaia2}&tab:{I/345/rvstdcat}&tab:{I/345/rvstdmes}&tab:{I/345/allwise}&tab:{I/345/iers}&tab:{I/345/cepheid}&tab:{I/345/rrlyrae}&tab:{I/345/lpv}&tab:{I/345/varres}&tab:{I/345/shortts}&tab:{I/345/tsstat}&tab:{I/345/numtrans}&tab:{I/345/transits}&tab:{I/345/rm}&tab:{I/345/rmseg}&tab:{I/345/rmout}&tab:{I/345/ssoobj}&tab:{I/345/ssoorb}&tab:{I/345/ssores}&tab:{I/345/ssoobs}&cat:I/347&cat:VI/137&cat:VI/145&cat:J/A+A/523/A48&cat:V/149&key:source=gaia+dr2&HTTPPRM:&&-ref=VIZ5baa5fdab92b&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c=cg 30
#-c.eq=J2000
#-c.r=  2
#-c.u=deg
#-c.geom=r
#-source=I/345/gaia2,I/345/rvstdcat,I/345/rvstdmes,I/345/allwise,I/345/iers,I/345/cepheid,I/345/rrlyrae,I/345/lpv,I/345/varres,I/345/shortts,I/345/tsstat,I/345/numtrans,I/345/transits,I/345/rm,I/345/rmseg,I/345/rmout,I/345/ssoobj,I/345/ssoorb,I/345/ssores,I/345/ssoobs
#-out.orig=standard
#-order=I
#-sort=RA_ICRS
#-out=Plx
#Plx=>2.10 and < 4.04
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Gmag
#-out=e_Gmag
#-out=BPmag
#-out=e_BPmag
#-out=RPmag
#-out=e_RPmag
#-out=RV
#-out=e_RV
#VC=VC
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#Simbad=Simbad
#LC=LC
#astorb=astorb
#
#INFO	CatalogsExamined=20	
#  20 catalogues with potential matches were examined.
#
#INFO	-c=122.386750-36.083450,rd=2.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	_r	(F8.6)	Distance from center (122.38675000000-36.08345000000)[ICRS], at Epoch=J2015.5	[ucd=pos.angDistance]
#Column	_RAJ2000	(F17.13)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F17.13)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	BPmag	(F7.4)	? Integrated BP mean magnitude (Vega) (phot_bp_mean_mag) (26)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	e_BPmag	(F6.4)	? Standard error of BP mean magnitude (Vega) (added by CDS) (phot_bp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	e_RPmag	(F6.4)	? Standard error of RP mean magnitude (Vega) (added by CDS) (phot_rp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
_r	_RAJ2000	_DEJ2000	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Gmag	e_Gmag	BPmag	e_BPmag	RPmag	e_RPmag	RV	e_RV
deg	deg	deg	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	mag	mag	mag	mag	mag	mag	km/s	km/s
--------	-----------------	-----------------	----------	-------	---------	------	---------	------	-------	------	-------	------	-------	------	-------	-----
1.994350	119.9191030945716	-36.1430281125800	    3.4127	 1.1366	   -3.554	 1.942	   -6.309	 1.997	20.5252	0.0094	20.9728	0.1371	19.1837	0.0379	       	
1.993831	119.9194019323720	-36.0947451510728	    2.5204	 0.9363	    3.667	 1.582	   -8.078	 1.347	20.7032	0.0090	21.1658	0.1441	19.3507	0.0392	       	
1.993758	119.9204734670284	-36.0544569778468	    2.3290	 2.4978	  -19.647	 3.346	   18.428	 3.313	20.9962	0.0147	20.9285	0.3151	19.4340	0.0732	       	
1.993587	119.9208196152898	-36.0511498438120	    2.1348	 0.2409	  -22.522	 0.308	   46.523	 0.654	17.4334	0.0036	       	      	       	      	       	
1.993349	119.9211203145361	-36.0510347638307	    3.0342	 0.0256	  -22.979	 0.044	   45.985	 0.046	14.4366	0.0008	15.0610	0.0019	13.6167	0.0027	       	
1.993015	119.9229218781382	-36.1988741073395	    2.4763	 0.1421	   -4.655	 0.243	    4.890	 0.245	16.6180	0.0043	17.8413	0.0204	15.4245	0.0087	       	
1.992630	119.9249249050990	-36.2214575248501	    2.3568	 0.2768	  -22.238	 0.450	  -11.695	 0.429	19.3177	0.0033	20.6982	0.1077	18.1069	0.0192	       	
1.989112	119.9265954800888	-36.1751892929130	    2.1866	 1.1644	   -2.531	 2.004	    0.330	 1.734	20.8188	0.0106	20.4051	0.1860	19.3988	0.1440	       	
1.987538	119.9276292130789	-36.1466442632323	    2.7830	 2.3041	   -5.226	 2.512	    6.656	 1.828	20.8841	0.0148	20.9713	0.1592	19.2540	0.0933	       	
1.996392	119.9294714072496	-36.3149623569726	    2.1758	 0.6475	   -8.322	 1.097	    5.985	 1.142	13.7475	0.0005	14.1017	0.0013	13.2135	0.0012	       	
1.995048	119.9299629560575	-36.3051751991718	    2.2417	 0.0227	  -19.285	 0.039	   27.591	 0.039	14.8878	0.0003	15.4855	0.0021	14.1633	0.0011	       	
1.984937	119.9303818722581	-36.1008647067290	    3.6193	 2.7986	    1.307	 2.990	   -1.506	 2.447	20.9884	0.0134	21.2369	0.2780	19.6002	0.0747	       	
1.987482	119.9309981767659	-36.2188611317681	    2.1278	 1.3714	    2.723	 1.881	    1.864	 3.387	20.8682	0.0125	20.9210	0.1235	19.7817	0.0863	       	
1.987592	119.9345851541491	-36.2633697464968	    2.2644	 0.2940	   -3.385	 0.445	   -0.787	 0.435	19.1867	0.0030	20.6241	0.1061	17.8323	0.0264	       	
1.982773	119.9355536914609	-36.0193825934608	    3.0192	 0.1782	   -5.411	 0.306	    8.894	 0.307	18.6518	0.0022	20.4243	0.0736	17.2571	0.0093	       	
1.985692	119.9356873556034	-35.9670284468673	    2.1582	 1.5487	   -3.089	 1.802	   -0.319	 3.900	20.8477	0.0135	20.5076	0.5025	19.1539	0.1177	       	
1.985126	119.9379589645345	-35.9494104832141	    3.8738	 1.6419	   13.387	 3.744	   16.880	 1.670	20.3809	0.0133	21.0641	0.1679	18.7935	0.0516	       	
1.996559	119.9410623207002	-35.8246158102439	    3.5225	 1.6050	   -2.278	 3.352	    1.586	 2.234	20.9320	0.0141	21.4699	0.1514	19.6589	0.0894	       	
1.974830	119.9429740923841	-36.0913964069400	    2.8518	 0.6910	   -0.995	 1.240	   -2.137	 1.094	20.5796	0.0082	21.4093	0.2210	19.0325	0.0566	       	
1.976686	119.9437342712267	-36.0080844600702	    3.5418	 1.4936	   -1.409	 3.069	    7.072	 2.361	20.9423	0.0152	21.4829	0.2326	19.5871	0.0973	       	
1.988307	119.9445447624616	-35.8661944258896	    2.5486	 0.0499	  -11.757	 0.084	  -19.144	 0.093	16.6204	0.0007	17.6988	0.0071	15.5857	0.0026	       	
1.974707	119.9457659329411	-36.2029690844458	    3.0335	 0.0669	   16.416	 0.109	  -24.027	 0.120	16.9636	0.0009	18.0961	0.0118	15.8987	0.0036	       	
1.971710	119.9486810982965	-36.0303085443311	    2.3084	 1.5842	   -6.796	 3.083	    1.077	 1.993	20.9156	0.0138	20.6628	0.2625	19.3366	0.0689	       	
1.969070	119.9515824579341	-36.1787678044082	    2.3829	 0.9924	   -0.708	 1.444	    4.854	 2.459	20.7912	0.0094	21.2805	0.1871	19.6309	0.0419	       	
1.966732	119.9538856261360	-36.1637888382526	    2.8839	 1.7870	   -0.975	 2.482	    3.565	 2.930	20.8408	0.0159	21.2572	0.1582	19.5117	0.0760	       	
1.964801	119.9553149670856	-36.1077891953031	    2.4485	 2.2102	   -3.990	 2.629	    4.714	 2.417	20.9563	0.0165	20.8789	0.2199	19.8088	0.1770	       	
1.989503	119.9556477998302	-35.7937826497532	    2.1261	 1.3146	   -4.305	 2.030	   10.629	 2.018	20.8918	0.0143	21.1755	0.2339	19.6300	0.0892	       	
1.965271	119.9561623213282	-36.1761864120995	    2.1349	 0.4498	    2.402	 0.783	    3.421	 0.769	19.9512	0.0053	20.4663	0.1497	18.4979	0.0398	       	
1.960818	119.9603183363866	-36.0974973532710	    3.6357	 1.3491	  -11.232	 2.092	    1.872	 2.247	20.4733	0.0146	20.7361	0.0735	18.7958	0.0324	       	
1.961370	119.9615304067995	-36.1868811214506	    2.1751	 0.1607	   -4.716	 0.273	   18.002	 0.284	18.5912	0.0024	19.8308	0.0532	17.3501	0.0156	       	
